advertiser,campaign_type,spend,installs,cpi,trial_starts_unique,cpt
Apple Search Ads,Advanced,293.99,229,1.2837991266375546,6,48.998333333333335
Apple Search Ads,Basic,0.0,352,0.0,15,0.0
Facebook Ads,Evergreen,662.2,578,1.1456747404844292,58,11.417241379310346
Facebook Ads,Other,434.92,407,1.0685995085995086,28,15.532857142857143
Organic,Other,0.0,1171,0.0,41,0.0
googleadwords_int,Other,630.0,196,3.2142857142857144,7,90.0
pinterest_int,Other,2080.0,2326,0.8942390369733448,124,16.774193548387096
